Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,25.850000,26.049999,24.582500,25.160000,23.457716,305384400
2012-02-01,25.295000,29.840000,25.150000,29.092501,27.124138,359655600
2012-03-01,29.362499,30.174999,28.385000,29.500000,27.556681,251469200
2012-04-01,29.500000,31.052500,29.120001,30.745001,28.719660,250660400
2012-05-01,30.867500,31.337500,28.125000,28.799999,26.902788,401376000
2012-06-01,28.410000,31.237499,27.985001,30.907499,28.926033,295216800
2012-07-01,31.065001,33.087502,29.775000,32.267502,30.198845,294764000
2012-08-01,32.125000,33.145000,31.452499,32.062500,30.006983,218263200
2012-09-01,32.090000,34.162498,31.737499,33.570000,31.471142,252855600
2012-10-01,33.717499,35.775002,33.717499,34.689999,32.521118,228222400
2012-11-01,35.205002,37.482498,34.632500,37.427502,35.087460,249467200
2012-12-01,37.500000,38.127499,36.525002,37.895000,35.608227,216124800
2013-01-01,38.540001,40.692501,38.482498,39.477501,37.095222,237422800
2013-02-01,39.750000,40.220001,38.535000,39.660000,37.266727,244870000
2013-03-01,39.482498,42.740002,38.919998,42.459999,39.981899,259370400
2013-04-01,42.437500,42.747501,40.317501,42.115002,39.657028,207622800
2013-05-01,41.747501,46.224998,40.900002,44.535000,41.935783,311006400
2013-06-01,44.687500,46.307499,43.919998,45.687500,43.099903,248756800
2013-07-01,45.974998,49.000000,42.747501,44.252499,41.746174,336031200
2013-08-01,45.439999,46.285000,43.052502,43.605000,41.135357,371889200
2013-09-01,44.007500,50.215000,43.762501,47.775002,45.152313,284857200
2013-10-01,47.822498,51.312500,45.027500,49.167500,46.468365,270568400
2013-11-01,49.737499,51.267502,48.750000,50.865002,48.072681,205473600
2013-12-01,51.025002,55.680000,49.857498,55.669998,52.720253,281645600
2014-01-01,55.384998,58.875000,53.777500,53.857498,51.003799,301408000
2014-02-01,54.127499,57.119999,52.845001,56.485001,53.492077,231340800
2014-03-01,55.810001,58.167500,52.630001,53.965000,51.197708,266839600
2014-04-01,54.270000,54.540001,48.709999,50.652500,48.055077,387414000
2014-05-01,51.025002,53.987499,50.750000,53.707500,50.953415,219822800
2014-06-01,53.842499,53.922501,51.827499,52.677502,50.070679,202218800
2014-07-01,52.987499,56.187500,52.752499,52.752499,50.141960,221661200
2014-08-01,52.467499,54.500000,52.052502,53.130001,50.500793,179954800
2014-09-01,53.352501,54.662498,52.279999,53.342499,50.799397,204146800
2014-10-01,53.212502,60.625000,48.797501,60.357498,57.479950,323304000
2014-11-01,60.244999,64.875000,59.750000,64.547501,61.470184,207148400
2014-12-01,64.067497,67.330002,63.087502,65.550003,62.545124,201720000
2015-01-01,65.845001,66.687500,61.292500,63.727501,60.806168,224446400
2015-02-01,64.077499,68.625000,62.424999,67.827499,64.718208,196760400
2015-03-01,69.177498,69.662498,64.752502,65.410004,62.524975,269012100
2015-04-01,65.449997,69.980003,64.349998,66.050003,63.136761,160639300
2015-05-01,65.220001,70.690002,65.150002,68.680000,65.650734,144586800
2015-06-01,69.129997,70.019997,66.690002,67.150002,64.300560,131193300
2015-07-01,67.940002,76.919998,66.529999,75.339996,72.143044,177282000
2015-08-01,75.589996,76.169998,60.000000,71.300003,68.274475,179158500
2015-09-01,69.410004,72.320000,67.029999,69.660004,66.813362,201185100
2015-10-01,70.089996,78.889999,68.360001,77.580002,74.409698,177323100
2015-11-01,75.190002,81.010002,74.529999,79.010002,75.781242,183636600
2015-12-01,79.529999,80.489998,75.519997,77.550003,74.514595,196740000
2016-01-01,76.059998,76.510002,68.760002,74.489998,71.574371,260402300
2016-02-01,74.080002,74.779999,66.120003,72.389999,69.556572,213972400
2016-03-01,72.989998,77.000000,69.580002,76.480003,73.631454,195619100
2016-04-01,76.250000,81.730003,75.800003,77.239998,74.363144,174306800
2016-05-01,77.809998,79.870003,76.220001,78.940002,75.999847,146457000
2016-06-01,78.690002,81.709999,73.250000,74.169998,71.533943,233198700
2016-07-01,74.500000,80.169998,73.830002,78.050003,75.276077,183766400
2016-08-01,78.309998,81.760002,77.730003,80.900002,78.024750,149268200
2016-09-01,81.139999,83.790001,80.970001,82.699997,79.899216,178964600
2016-10-01,82.419998,83.699997,81.110001,82.510002,79.715630,178715000
2016-11-01,82.639999,83.959999,77.279999,77.320000,74.701393,234725300
2016-12-01,77.570000,80.389999,75.169998,78.019997,75.536354,244921300
2017-01-01,78.760002,84.269997,78.489998,82.709999,80.077019,159204500
2017-02-01,82.900002,88.489998,81.570000,87.940002,85.140564,167748600
2017-03-01,88.739998,92.050003,87.849998,88.870003,86.204758,176909000
2017-04-01,89.139999,92.800003,88.129997,91.220001,88.484238,156747400
2017-05-01,91.290001,95.529999,91.139999,95.230003,92.373970,158133400
2017-06-01,95.400002,96.599998,92.800003,93.779999,91.128883,199947700
2017-07-01,94.379997,101.180000,93.190002,99.559998,96.745483,156786000
2017-08-01,100.360001,104.199997,99.430000,103.519997,100.593513,151872300
2017-09-01,104.040001,106.839996,102.260002,105.239998,102.429581,141274000
2017-10-01,105.540001,110.739998,104.900002,109.980003,107.043007,142874100
2017-11-01,110.500000,113.620003,106.900002,112.589996,109.583313,137176700
2017-12-01,112.379997,114.919998,106.599998,114.019997,111.171745,178517500
2018-01-01,114.570000,126.879997,113.949997,124.230003,121.126709,151396400
2018-02-01,124.739998,126.260002,111.019997,122.940002,119.868927,186505200
2018-03-01,123.260002,125.440002,116.029999,119.620003,116.834915,184691600
2018-04-01,119.269997,127.900002,116.709999,126.879997,123.925888,165179500
2018-05-01,126.860001,132.500000,125.320000,130.720001,127.676491,147562200
2018-06-01,131.839996,136.690002,129.529999,132.449997,129.574097,154580100
2018-07-01,131.960007,143.139999,131.149994,136.740005,133.770966,161547600
2018-08-01,137.740005,147.710007,137.000000,146.889999,143.700562,143154600
2018-09-01,146.929993,150.639999,142.539993,150.089996,147.051788,147499300
2018-10-01,150.889999,151.559998,129.789993,137.850006,135.059540,254090900
2018-11-01,139.000000,145.460007,129.539993,141.710007,138.841431,208765500
2018-12-01,145.000000,145.720001,121.599998,131.940002,129.501251,242678900
2019-01-01,130.000000,139.899994,127.879997,135.009995,132.514526,193201600
2019-02-01,135.389999,148.820007,135.259995,148.119995,145.382202,154774400
2019-03-01,149.460007,156.820007,144.500000,156.190002,153.570618,207400300
2019-04-01,157.529999,165.699997,156.320007,164.429993,161.672440,136485800
2019-05-01,165.539993,165.770004,156.419998,161.330002,158.624420,147281300
2019-06-01,161.539993,174.940002,156.750000,173.550003,170.901947,158884600
2019-07-01,175.330002,184.070007,172.740005,178.000000,175.284042,126711100
2019-08-01,179.190002,182.399994,166.979996,180.820007,178.061020,152861700
2019-09-01,180.520004,187.050003,172.009995,172.009995,169.629822,170929800
2019-10-01,173.020004,180.179993,168.589996,178.860001,176.385040,161724400
2019-11-01,180.130005,184.850006,175.179993,184.509995,181.956863,134080900
2019-12-01,184.240005,189.889999,179.660004,187.899994,185.610321,160575600
2020-01-01,189.000000,210.130005,187.160004,198.970001,196.545441,184029800
2020-02-01,199.940002,214.169998,172.979996,181.759995,179.545151,199936300
2020-03-01,186.320007,194.490005,133.929993,161.119995,159.387146,417986300
2020-04-01,156.320007,182.250000,150.600006,178.720001,176.797867,263788900
2020-05-01,174.449997,198.289993,171.720001,195.240005,193.140213,189859400
2020-06-01,194.710007,202.179993,186.210007,193.169998,191.412445,192243200
2020-07-01,193.850006,200.949997,187.179993,190.399994,188.667648,168892100
2020-08-01,191.800003,216.160004,190.080002,211.990005,210.061234,161567600
2020-09-01,212.210007,217.350006,193.130005,199.970001,198.450134,176322600
2020-10-01,202.210007,207.970001,179.229996,181.710007,180.328918,172165200
2020-11-01,184.509995,217.649994,183.889999,210.350006,208.751236,156682600
2020-12-01,212.130005,220.389999,204.500000,218.729996,217.394608,178596000
2021-01-01,220.250000,220.250000,192.809998,193.250000,192.070160,198372600
2021-02-01,195.139999,220.529999,195.020004,212.389999,211.093292,197048100
2021-03-01,214.970001,228.229996,205.779999,211.729996,210.764038,228907800
2021-04-01,213.779999,237.500000,212.300003,233.559998,232.494446,152922100
2021-05-01,234.050003,235.740005,220.309998,227.300003,226.263000,127246900
2021-06-01,229.440002,238.479996,226.279999,233.820007,233.091354,151648800
2021-07-01,234.199997,252.669998,234.050003,246.389999,245.622177,157826100
2021-08-01,246.240005,247.830002,228.660004,229.100006,228.386063,148460100
2021-09-01,229.100006,233.330002,216.309998,222.750000,222.358551,175604800
2021-10-01,224.169998,236.960007,208.539993,211.770004,211.397858,170230600
2021-11-01,213.490005,221.610001,192.550003,193.770004,193.429489,303942600
2021-12-01,196.029999,216.270004,190.100006,214.369995,214.369995,129379300
